frame,kinetic_energy,potential_energy,total_energy
64,2324.340087890625,5240.750378417969,7565.090466308594
65,2369.587158203125,5181.802038574219,7551.389196777344
66,2415.990234375,5122.4080810546875,7538.3983154296875
67,2463.543701171875,5062.5421875,7526.085888671875
68,2512.255859375,5002.183422851563,7514.439282226563
69,2562.13037109375,4941.308758544922,7503.439129638672
70,2613.173828125,4879.897558593751,7493.071386718751
71,2665.40234375,4817.9288879394535,7483.3312316894535
72,2718.819580078125,4755.3830078125,7474.202587890625
73,2773.41162109375,4692.238684082032,7465.650305175782
74,2829.170654296875,4628.47797241211,7457.648626708985
75,2886.10595703125,4564.083227539063,7450.189184570313
76,2945.264892578125,4499.0421875,7444.307080078125
77,3004.117431640625,4433.344982910156,7437.462414550781
78,3064.222900390625,4366.973071289063,7431.195971679688
79,3127.795654296875,4299.913293457032,7427.708947753907
80,3194.90087890625,4232.1656494140625,7427.0665283203125
81,3255.2705078125,4163.71967163086,7418.99017944336
82,3320.967041015625,4094.562799072266,7415.529840087891
83,3387.269287109375,4024.686059570313,7411.955346679688
84,3455.00537109375,3954.0807800292973,7409.086151123047
85,3521.996826171875,3882.7403808593754,7404.73720703125
86,3590.021484375,3810.6576843261723,7400.679168701172
87,3661.233642578125,3737.8305969238286,7399.064239501953
88,3730.393310546875,3664.2573242187505,7394.650634765625
89,3804.532470703125,3589.935473632813,7394.467944335938
90,3882.182373046875,3514.8680358886722,7397.050408935547
91,3951.71337890625,3439.03916015625,7390.7525390625
92,4027.895751953125,3362.4431640625003,7390.338916015626
93,4105.302734375,3285.0695800781255,7390.372314453125
94,4180.12353515625,3206.911529541016,7387.035064697266
95,4256.78173828125,3127.965124511719,7384.746862792968
96,4334.96484375,3048.2264770507813,7383.191320800781
97,4415.53125,2967.693493652344,7383.224743652344
98,4496.87548828125,2886.370660400391,7383.246148681641
99,4576.388671875,2804.2525939941406,7380.641265869141
100,4660.154296875,2721.338397216797,7381.492694091798
101,4743.5263671875,2637.6241821289063,7381.150549316406
102,4825.64208984375,2553.1045654296877,7378.746655273438
103,4856.71875,2467.943737792969,7324.662487792969
104,4848.88818359375,2382.824331665039,7231.712515258789
105,4816.92529296875,2298.115850830078,7115.041143798828
106,4790.75634765625,2214.2625671386722,7005.018914794922
107,4769.51025390625,2131.6290496826173,6901.139303588867
108,4748.02783203125,2050.531268310547,6798.559100341798
109,4735.8544921875,1971.2841461181642,6707.138638305664
110,4732.31005859375,1894.1528106689454,6626.462869262696
111,4727.73828125,1819.385791015625,6547.124072265625
112,4729.45263671875,1747.1520629882814,6476.604699707032
113,4744.4931640625,1677.5476287841798,6422.040792846679
114,4762.400390625,1610.7272583007814,6373.127648925782
115,4766.84130859375,1546.7302795410158,6313.571588134766
116,4773.25830078125,1485.6129180908204,6258.87121887207
117,4757.837890625,1427.4263153076172,6185.264205932617
118,4722.865234375,1372.2676696777344,6095.132904052734
119,4697.7451171875,1320.1737670898438,6017.918884277344
120,4670.37744140625,1271.1615051269532,5941.538946533203
