frame,kinetic_energy,potential_energy,total_energy
99,4199.69384765625,2978.0692077636722,7177.763055419922
100,4279.28173828125,2898.042254638672,7177.323992919923
101,4359.73681640625,2817.1844787597656,7176.921295166016
102,4441.05712890625,2735.493786621094,7176.550915527344
103,4523.2431640625,2652.968981933594,7176.2121459960945
104,4606.29150390625,2569.607373046875,7175.898876953125
105,4690.0927734375,2485.408660888672,7175.501434326172
106,4716.31640625,2400.517596435547,7116.834002685548
107,4547.8876953125,2316.2865844726566,6864.174279785157
108,4350.04833984375,2234.2432861328125,6584.2916259765625
109,4179.17431640625,2154.295138549805,6333.469454956055
110,3968.413330078125,2076.836767578125,6045.25009765625
111,3750.88134765625,2002.4130828857424,5753.294430541992
112,3538.9267578125,1931.043524169922,5469.9702819824215
113,3324.225341796875,1862.810485839844,5187.035827636719
114,3111.824462890625,1797.8425689697267,4909.667031860352
115,2908.886474609375,1736.1499420166017,4645.036416625977
116,2719.34375,1677.6449768066407,4396.98872680664
117,2544.697509765625,1622.199969482422,4166.897479248047
118,2385.17138671875,1569.6617950439454,3954.8331817626954
119,2239.0380859375,1519.8723937988282,3758.910479736328
120,2105.199951171875,1472.6867156982423,3577.8866668701176
